NAME,ADDRESS,CITY,STATE,ZIP,ENGINE,LOCATION,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
E82,817 E 91ST ST,CHICAGO,IL,60619,E82,"817 E 91ST ST
CHICAGO, IL 60619
(41.72933327959225, -87.60425730151255)",61,40,21546,429,35,9
E34,4034 W 47TH ST,CHICAGO,IL,60632,E34,"4034 W 47TH ST
CHICAGO, IL 60632
(41.80790024096418, -87.72485128276466)",56,54,22248,591,8,49
E79,6424 N LEHIGH AVE,CHICAGO,IL,60646,E79,"6424 N LEHIGH AVE
CHICAGO, IL 60646
(41.997974799017584, -87.76616159362811)",18,12,22532,781,29,34
E5,324 S DESPLAINES ST,CHICAGO,IL,60661,E5,"324 S DESPLAINES ST
CHICAGO, IL 60661
(41.877028304420755, -87.64430865193455)",45,29,4452,786,36,48
E11,5343 N CUMBERLAND AVE,CHICAGO,IL,60656,E11,"5343 N CUMBERLAND AVE
CHICAGO, IL 60656
(41.97685625348317, -87.836495886321)",31,36,4448,735,29,34
E81,10458 S HOXIE AVE,CHICAGO,IL,60617,E81,"10458 S HOXIE AVE
CHICAGO, IL 60617
(41.705334319654064, -87.56088524816063)",25,48,21202,174,47,47
E22,605 W ARMITAGE AVE,CHICAGO,IL,60614,E22,"605 W ARMITAGE AVE
CHICAGO, IL 60614
(41.91792047709303, -87.64396690956342)",16,68,21190,273,34,51
E50,5000 S UNION AVE,CHICAGO,IL,60609,E50,"5000 S UNION AVE
CHICAGO, IL 60609
(41.80344788181221, -87.64299386409898)",37,59,14924,84,4,12
E68,5258 W GRAND AVE,CHICAGO,IL,60639,E68,"5258 W GRAND AVE
CHICAGO, IL 60639
(41.91725086259721, -87.75747321069997)",2,19,22615,307,44,4
E7,4911 W BELMONT AVE,CHICAGO,IL,60641,E7,"4911 W BELMONT AVE
CHICAGO, IL 60641
(41.9387854993556, -87.74963764827827)",21,19,22618,355,17,7
E91,2827 N PULASKI RD,CHICAGO,IL,60641,E91,"2827 N PULASKI RD
CHICAGO, IL 60641
(41.93223675592729, -87.72695711402253)",39,22,22618,71,21,27
E92,3112 W 111TH ST,CHICAGO,IL,60655,E92,"3112 W 111TH ST
CHICAGO, IL 60655
(41.6916111688133, -87.69891865020873)",33,73,4447,256,42,33
E89,3945 W PETERSON AVE,CHICAGO,IL,60659,E89,"3945 W PETERSON AVE
CHICAGO, IL 60659
(41.990056658779615, -87.72568030374029)",50,13,22532,747,38,28
E47,432 E MARQUETTE RD,CHICAGO,IL,60637,E47,"432 E MARQUETTE RD
CHICAGO, IL 60637
(41.77300015277593, -87.6141755209756)",60,9,22260,332,4,53
E70/E59,6030 N CLARK ST,CHICAGO,IL,60660,E70/59,"6030 N CLARK ST
CHICAGO, IL 60660
(41.99185705844965, -87.6702338230154)",14,76,4451,537,24,46
E28,2534 S THROOP ST,CHICAGO,IL,60608,E28,"2534 S THROOP ST
CHICAGO, IL 60608
(41.84557901305613, -87.65633258746628)",43,58,14920,722,48,26
E44,412 N KEDZIE AVE,CHICAGO,IL,60612,E44,"412 N KEDZIE AVE
CHICAGO, IL 60612
(41.888791436564, -87.70657770924328)",30,24,21572,177,23,11
E109,2358 S WHIPPLE ST,CHICAGO,IL,60623,E109,"2358 S WHIPPLE ST
CHICAGO, IL 60623
(41.84833993168608, -87.70181130248798)",57,32,21569,261,1,36
E119,6030 N AVONDALE AVE,CHICAGO,IL,60631,E119,"6030 N AVONDALE AVE
CHICAGO, IL 60631
(41.99120656361649, -87.79879483457952)",17,36,22243,733,29,34
E56,2214 W BARRY AVE,CHICAGO,IL,60618,E56,"2214 W BARRY AVE
CHICAGO, IL 60618
(41.93769629431298, -87.68576576945844)",39,46,21538,110,40,24
E129,8120 S ASHLAND AVE,CHICAGO,IL,60620,E129,"8120 S ASHLAND AVE
CHICAGO, IL 60620
(41.746304611153825, -87.66346152532664)",59,70,21554,574,13,18
E83,1200 W WILSON AVE,CHICAGO,IL,60640,E83,"1200 W WILSON AVE
CHICAGO, IL 60640
(41.96563850396769, -87.65997484168496)",15,31,22616,611,39,37
